Prix,Année,Boite,Carburant,secteur,kilometrage,marque,model,nbr de portes,origine,premiére main,puissance fiscale,état,km_min,km_max,km_moyen,km_binned
225000.0,2018,Automatique,Diesel,"Toute la ville, Had Soualem",190 000 - 199 999,VOLKSWAGEN,Arteon,5.0,WW au Maroc,Oui,8.0,Très bon,190000,199999,194999.5,150k-200k
220000.0,2018,Automatique,Diesel,"Oulfa, Casablanca",50 000 - 54 999,VOLKSWAGEN,Coccinelle,3.0,WW au Maroc,Non,8.0,Très bon,50000,54999,52499.5,50k-100k
260000.0,2022,Automatique,Diesel,"2 Mars, Casablanca",120 000 - 129 999,KIA,Sportage,5.0,WW au Maroc,Oui,9.0,Excellent,120000,129999,124999.5,100k-150k
315000.0,2019,Automatique,Diesel,"Hay Essalam, El Jadida",95 000 - 99 999,VOLKSWAGEN,Tiguan,5.0,WW au Maroc,Oui,8.0,Neuf,95000,99999,97499.5,50k-100k
498000.0,2022,Automatique,Essence,"Ahlane, Tanger",80 000 - 84 999,VOLKSWAGEN,Tiguan,5.0,Importée neuve,Oui,20.0,Neuf,80000,84999,82499.5,50k-100k
410000.0,2016,Automatique,Diesel,"Aïn Diab, Casablanca",120 000 - 129 999,PORSCHE,Cayenne,5.0,Dédouanée,Oui,12.0,Très bon,120000,129999,124999.5,100k-150k
205000.0,2015,Automatique,Diesel,"Hay Riad, Rabat",200 000 - 249 999,AUDI,A5,5.0,WW au Maroc,Non,8.0,Très bon,200000,249999,224999.5,200k-300k
370000.0,2017,Automatique,Diesel,"Al Wifaq, Agadir",160 000 - 169 999,MERCEDES-BENZ,Classe C,3.0,Importée neuve,Oui,9.0,Très bon,160000,169999,164999.5,150k-200k
420000.0,2018,Automatique,Diesel,"Californie, Casablanca",110 000 - 119 999,LAND ROVER,Range Rover Velar,5.0,WW au Maroc,Oui,8.0,Excellent,110000,119999,114999.5,100k-150k
233000.0,2019,Manuelle,Diesel,"Ahlane, Tanger",120 000 - 129 999,PEUGEOT,3008,5.0,WW au Maroc,Oui,8.0,Excellent,120000,129999,124999.5,100k-150k
360000.0,2019,Automatique,Diesel,"Agdal, Rabat",120 000 - 129 999,LAND ROVER,Range Rover Evoque,5.0,WW au Maroc,Oui,8.0,Excellent,120000,129999,124999.5,100k-150k
